,Unnamed: 0,product_id,date_posted,review_title,review_text,scores,compound,sentiment
0,0,111964,2024-02-10,Amazing ,"I'm in love with the scent and l even order the lotion for the same smell , really high quality its clean very well and it's so gentle and not make your body dry. You feel amazing and fresh after use it , its really huge bottle and this size will last for long time ,the packaging is great they wrapped it with plastic to not leaks , its good for all ages 💜💜","{'neg': 0.027, 'neu': 0.684, 'pos': 0.289, 'compound': 0.9733}",0.9733,pos
1,1,111964,2024-07-24,,"Great size quality and packaging 
Gentle body wash Suitable for dry sensitive skin , it feels so smooth and clean 
I use it 3 times/ week and my skin is healthier my backne is getting better
The scent is so relaxing 
I’m in love with it and i definitely will repurchase this product ","{'neg': 0.0, 'neu': 0.638, 'pos': 0.362, 'compound': 0.9747}",0.9747,pos
2,2,111964,2023-11-03,A scent that  doesn't  last long. ,"I praised  this  product for  it's slight  scent and softness When showering. However, the scent  doesn't  last long  but the  soft  skin seems to  remain  for a long time. If I keep using it, I'll  like??? I need to  think  more  about  repurchasing.A little bit  disappointing!!!!","{'neg': 0.0, 'neu': 0.85, 'pos': 0.15, 'compound': 0.794}",0.794,pos
3,3,111964,2024-10-10,Perfect for your body! ,"I absolutely love the Hydrating Body Wash in Lavender Lemongrass! The scent is amazing—soothing lavender with a fresh hint of lemongrass. It leaves my skin feeling soft, clean, and hydrated without any dryness. A little goes a long way, and the natural ingredients are a big plus. Perfect for a relaxing shower!","{'neg': 0.0, 'neu': 0.65, 'pos': 0.35, 'compound': 0.9637}",0.9637,pos
4,4,111964,2024-05-28,Lovely fresh smell.,"I am absolutely delighted with this shower gel! The smell is incredible, turning every shower into a refreshing experience. I love that the composition it’s free from harmful chemicals, so I can enjoy it without any worries about what I’m putting on my skin. It leaves my skin feeling soft, clean, and wonderfully scented. This shower gel has definitely become a staple in my bathroom routine.","{'neg': 0.0, 'neu': 0.65, 'pos': 0.35, 'compound': 0.9798}",0.9798,pos
5,5,111964,2024-05-11,Soothing Bliss: Mild By Nature Lavender Lemongrass Body Wash Mini-Review,"Size: Generous 16 fl oz (473 ml) size for lasting use.

Use: Versatile and gentle, perfect for daily pampering.

Package: Convenient flip-cap design, practical and sleek.

Benefit: Hydrating formula nourishes without stripping moisture.

Smell: Lavender Lemongrass scent is calming and revitalizing.

Quality: Expertly crafted with natural ingredients for top-notch results.

Feel: Silky texture leaves skin soft, supple, and thoroughly cleansed.

Scent: Delicately fragrant, offering a tranquil sensory experience.","{'neg': 0.0, 'neu': 0.732, 'pos': 0.268, 'compound': 0.9616}",0.9616,pos
6,6,111964,2024-04-26,Love it!,"I was looking for a body wash that is as natural as possible, the ingrediencies look very good on this one, the formula feels rich without chemicals and it has a lovely natural scent to it and great feeling on the body when in use. I got addicted to it! It can be a bit pricy when not on a discount though","{'neg': 0.0, 'neu': 0.695, 'pos': 0.305, 'compound': 0.9661}",0.9661,pos
7,7,111964,2024-02-15,,"Years old The best body wash ever when it’s because it has a good size and good packaging and prize and has a really cute smell and had a lot of benefits like Your body and it’s so good for everyday use it’s okay, and it’s okay to use it for kids 9 and 8 Years old","{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.9785}",0.9785,pos
8,8,111964,2024-01-31,,"Mild By Nature Hydrating Body Wash is a skincare product that offers cleansing and hydrating benefits for the skin. It typically comes in a 16 fl oz (473 ml) package with convenient dispensing options. The body wash is designed to cleanse, hydrate, and nourish the skin. Follow the recommended use instructions provided on the packaging, and consider any individual skin concerns or sensitivities when incorporating this product into your skincare routine.","{'neg': 0.0, 'neu': 0.938, 'pos': 0.062, 'compound': 0.5267}",0.5267,pos
9,9,111964,2023-12-29,,"The Mild by Nature Lavender Lemongrass Hydrating Body Wash was quite invigorating. I found that the body wash was adequately sudsy. I use exfoliating gloves to stretch my liquid soaps.  The lavender lemongrass scent was not overpowering, but the lemongrass was more prominent. I like the Mild by Nature products as they seem to be more natural than the other body wash on the market. I did find the flip-top lid a bit difficult to open when my hands are wet. Once opened the shape of the bottle makes it easy to squeeze and dispense. Overall, the Mild by Nature Lavender Lemongrass Hydrating Body Wash is a pleasing product. ","{'neg': 0.027, 'neu': 0.796, 'pos': 0.177, 'compound': 0.9592}",0.9592,pos
10,10,111964,2023-10-27,Nice scent,"It has a very nice lavender scent. I have a dry and sensitive skin, but with this body wash, my skin wasn’t irritated at all. Since it gives me lots of bubbles without using it too much, with the size of the bottle, it will last very long for me.","{'neg': 0.078, 'neu': 0.882, 'pos': 0.04, 'compound': -0.4503}",-0.4503,neg
