,Unnamed: 0,product_id,date_posted,review_title,review_text,scores,compound,sentiment
0,0,121216,2024-01-13,Love a Bundle!,"My favorite grocery store carries Zum products and the display is near the entrance I use. I've been curious about it, but never ""bit"". This sample set was perfect as an introduction. I kept a couple items for myself and used the rest as stocking stuffers. My adult kids love all-naturals products. I really like the ones I tried, enough so that I'll be purchasing some of the full-size products!","{'neg': 0.0, 'neu': 0.765, 'pos': 0.235, 'compound': 0.9611}",0.9611,pos
1,1,121216,2024-05-02,Mini package to try every product,"The delivery is very soon. This package included hand soap, mist, goat milk soaps, laundry soap, and body lotions. But everyone is so small. I don't like the smell of that mist (amber) because it's too thick for me. But the smell lingered for a long time, which exceeded my realization.","{'neg': 0.059, 'neu': 0.901, 'pos': 0.04, 'compound': -0.2407}",-0.2407,neg
2,2,121216,2024-09-19,I like the Lavender hand wash scent," They are as described.  the amber room spray makes me think of vanilla fields.  the laundry soap smells nice and I think better than the body soap for some reason.  (maybe it's just me ??) The samples of lotion are plentiful for one body use, though I am fairly small.  Overall, I'd say it's worth the $15 paid for it","{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.7882}",0.7882,pos
3,3,121216,2024-09-13,Great starter kit,"This is an awesome little kit to get you started because you get to experience a lot of the wonderful scents that they have to offer , and you will definitely be hooked and find your favorite after ordering this kit. And if you’re not using any of the soaps or the laundry detergent. Then definitely order this now and all of them will be your favorites. I currently use all of these different items and more.","{'neg': 0.0, 'neu': 0.782, 'pos': 0.218, 'compound': 0.9584}",0.9584,pos
4,4,121216,2024-08-26,Lovely gift,"I bought this for my sister's birthday, and she loved it! She said she liked the variety and the scents were great. I've used/purchased most of the Zum products for myself for years so I knew what good quality she was getting before I purchased this. Would highly recommend!","{'neg': 0.0, 'neu': 0.703, 'pos': 0.297, 'compound': 0.9541}",0.9541,pos
5,5,121216,2024-08-25,An excellent Zum sample package,This is the second time I’ve ordered this sample package of Zum. The products are the right size to travel with. The travel size package offers a variety of the different products that zum has. I Iabsolutely love the laundry soap. It has a wonderful smell. The room spray and hand wash are also lovely with such wonderful smells. I highly recommend. ,"{'neg': 0.0, 'neu': 0.709, 'pos': 0.291, 'compound': 0.9698}",0.9698,pos
6,6,121216,2024-06-11,LOVE ALL ZUM PRODUCTS,"I love everything about Zum products. I have purchased a gift package to give samples to friends. They are great to use as they don't affect my sensitive health issues, especially their scents.  The quality of all products are  amazing and the clothes washing detergent is very gentle and many people comment on the scent I leave wafting behind me. ","{'neg': 0.017, 'neu': 0.685, 'pos': 0.298, 'compound': 0.9686}",0.9686,pos
7,7,121216,2024-02-19,Zum Bag 8 Piece Set,"I bought this as a birthday gift for a family member. The scents are quite pleasant. The size of each bar of soap and other items was rather small, but that is OK. The packaging was a cute transparent zipper bag. I chose this gift set because it had a good variety of products and seems to be good quality. She really liked her gift!","{'neg': 0.0, 'neu': 0.61, 'pos': 0.39, 'compound': 0.9861}",0.9861,pos
8,8,121216,2024-02-09,,The best product I've found online in a long time . The soaps smell amazing. The room body spray is my absolute favorite it literally eliminates pet odor too !. The soaps are very clean smelling and fresh feeling. The gift set is packed with little extras. Two bars of soap a room sprays and hand soap laundry packets . I couldn't be more happy . I'm looking for the products in bigger sizes so I never run out . A must have esp with having kids and pets ,"{'neg': 0.033, 'neu': 0.722, 'pos': 0.246, 'compound': 0.9637}",0.9637,pos
9,9,121216,2023-12-14,Excited ,Excited to gift this for Christmas to a dear friend. The scent is usually nice and the quality of the products usually are pleasing. I like that the package has a lot of goodies in it. The sizes are small they are trial sizes of the products to use. Feels nice. ,"{'neg': 0.0, 'neu': 0.639, 'pos': 0.361, 'compound': 0.9666}",0.9666,pos
10,10,121216,2023-11-25,Very nice,"I love the quality,size and incredible scents of each of the items in the Zum bag. I love the laundry soap. I will definitely buy more and use it with every load. This package is a convenient way to test the benefits of the soaps, creams and lip balm. ","{'neg': 0.0, 'neu': 0.75, 'pos': 0.25, 'compound': 0.9287}",0.9287,pos
11,11,121216,2023-11-24,Excellent,"I first tried out the laundry soap and loved the scent and the cleaning effect, so would like to out other product of the same brand. The size of 
individual is small, but is good enough to try them out. Its small size is good for travel, yet good enough for use for a short trip for up to, say 5 days. Am happy to order the full size of some of the items in this kit.","{'neg': 0.0, 'neu': 0.765, 'pos': 0.235, 'compound': 0.968}",0.968,pos
12,12,121216,2023-10-29,This introduced me to Zum products -Thanks!,"I really appreciate that this was available. I wanted to try Zum products and this provided me an opportunity to try a variety of products and scents without a huge investment in case I didn't like something. I wish more companies would provide this. As Zum can attest to, I made purchases for the regular sized versions of some of these products. ","{'neg': 0.102, 'neu': 0.805, 'pos': 0.093, 'compound': 0.1187}",0.1187,pos
13,13,121216,2024-09-27,Its 70/30,"The smells of the products very a lot. I lived the amber,  but the one for laundry is too strong for me, and it stays on clothes for a long time. Hard soaps are also too strong for my nose, and tge liquid soap is wonderful, and very pleasant to my hands.","{'neg': 0.025, 'neu': 0.683, 'pos': 0.292, 'compound': 0.9649}",0.9649,pos
14,14,121216,2024-09-23,Zum travel kit,"I love Zum products, especially the scented frankincense and myrrh soap and laundy detergent.  They are gentle and good for sensitive skin.  The room and body spray smells like vainilla, and the scent lingers for a long time. This travel kit is a good way to try them; just be aware that the sizes are very small. ","{'neg': 0.0, 'neu': 0.761, 'pos': 0.239, 'compound': 0.9371}",0.9371,pos
15,15,121216,2024-09-20,Good set to try out Zum's products,"I love the soaps and how fragrant they are. If you order the kit in the summer it'll imprint the smell on everything you get because it's not very well packaged, so be careful not to order food stuff with it. I still think it's kind of expensive for the amount of product you get, they're all minis. Even the bar soap. I was surprised I like the room and body spray. I think I'll check out if they have other scents. ","{'neg': 0.024, 'neu': 0.852, 'pos': 0.124, 'compound': 0.815}",0.815,pos
16,16,121216,2024-06-17,It's OK. I liked the scent,"First of all,  the samples are TINY, so not great VFM. The lotion sample is barely usable for its tininess... 
We did like some products more than others. The laundry soap sample is large enough to test 2-3 loads, which is great and that was the main reason for me to get this bag.  I liked the scent, but it becomes very moldy if you forget the load for a couple of hours as I did, so watch it.  As for performance, it was fair. I've seen much worse performing eco-friendly laundry fluids. The soap bars, as tiny as they were, were a huge success. Very nice smell and feel.  I wouldn't buy the full size, though. way too expensive. 
The hand wash is just OK, and so is the lip balm stick. 

Summing this up, a very nice treat, but not for daily use, for poor VFM. ","{'neg': 0.086, 'neu': 0.716, 'pos': 0.198, 'compound': 0.9675}",0.9675,pos
17,17,121216,2024-05-29,"ZUM,Zum Bag, 8 Piece Set, 8 oz.",I gave this a 4 because it was good in that you get 8 pieces to try and know if you would buy them.  I have allergies and most of them I would never be able to use due to the strong smells but some people might think they were wonderful??,"{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.8594}",0.8594,pos
18,18,121216,2023-11-29,Smells Great But On the Smaller Side,It’s always fun to get a sample kit! I like that there are diverse kinds of products in this set but I do wish the samples were bigger. You can immediately smell the nice scents through the bag which is a good sign. I look forward to trying them all out. ,"{'neg': 0.0, 'neu': 0.728, 'pos': 0.272, 'compound': 0.9359}",0.9359,pos
19,19,121216,2024-09-23,Great gift ,I love Zum products and bought these for gifts. They are great for travel and I love that Zum uses real natural oils for fragrance and not fake scents.,"{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.9556}",0.9556,pos
20,20,121216,2024-06-27,Great little value pack!,"Great idea to give things a try! Also good as a travel pack. Love all the products!! (The packaging is really cute too). Everything is gentle & great for my sensitive skin, & smell AMAZING!! (doesn’t dry you out)","{'neg': 0.0, 'neu': 0.507, 'pos': 0.493, 'compound': 0.9821}",0.9821,pos
21,21,121216,2024-06-20,Zum set,This was a good way to try out many of the Zum products.  I first tried the lundry detergent and loved it so wanted to experience some of the other products.  The bath soap and lotions are especially nice and leave your skin feeling clean.  The scents are wonderful.,"{'neg': 0.025, 'neu': 0.675, 'pos': 0.3, 'compound': 0.9462}",0.9462,pos
22,22,121216,2024-06-18,Zum Bag,This a a great variety of items. I bought it as part of a Mother’s Day gift but it gave me a chance to smell everything to see what else I may like. It’s like the best sampler ever.,"{'neg': 0.0, 'neu': 0.583, 'pos': 0.417, 'compound': 0.9601}",0.9601,pos
23,23,121216,2024-05-20,Fun Set,"This will be the best little gift for my friend's birthday. All the pieces are small, sample sized and will be fun for her to have. It smells lovely, by the way! ","{'neg': 0.0, 'neu': 0.664, 'pos': 0.336, 'compound': 0.9349}",0.9349,pos
24,24,121216,2024-04-18,Love love love this,So many amazing products in one little bag. All are ready to stash in a travel bag. The scent of the frankincense & myrrh goat-milk soap is heavenly. ,"{'neg': 0.0, 'neu': 0.685, 'pos': 0.315, 'compound': 0.8905}",0.8905,pos
25,25,121216,2024-04-18,Great!,This smells ammmmmmmazing! I got this as a gift for a friend. It’s not super big or small- the size is medium. It comes with delicious smelling things. I want to keep it for myself! ,"{'neg': 0.077, 'neu': 0.637, 'pos': 0.286, 'compound': 0.8195}",0.8195,pos
26,26,121216,2024-04-04,Great variety,I just love all the little trial size products I have tried a few of them and the sense are fantastic perfect sizes for travel,"{'neg': 0.0, 'neu': 0.623, 'pos': 0.377, 'compound': 0.91}",0.91,pos
27,27,121216,2024-04-03,I LOVE ZUM'S QUALITY!,"I have used Zum Bar Soap & Mist in a few different scents. This is a cute little array of different products with new scents I have never tried before. Great price! Also, it makes a nice little gift.","{'neg': 0.08, 'neu': 0.707, 'pos': 0.212, 'compound': 0.6603}",0.6603,pos
28,28,121216,2024-02-19,Great product,"I bought this to create a gift package with some other Zum products.  The products smell absolutely amazing!  The recipient was very happy with the trial sizes, too!","{'neg': 0.0, 'neu': 0.617, 'pos': 0.383, 'compound': 0.9283}",0.9283,pos
29,29,121216,2024-01-29,,"Perfect gift or just to treat yourself to some goodies. Mini soaps
and sample sizes included. I wanted to try out the scents before buying a larger size. Zum is one of my new go to brands! ","{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.8622}",0.8622,pos
30,30,121216,2024-01-02,Wonderful gift item,"Lots of terrific stuff in this small gift bag and everything smells so wonderful. There’s a little of everything, but a little goes a long way when you’re talking about scent. The only thing missing is bath salts. ","{'neg': 0.069, 'neu': 0.762, 'pos': 0.169, 'compound': 0.4715}",0.4715,pos
31,31,121216,2023-12-04,Makes a Great Gift,This sample pack of Zum products is a great way to try what they have to offer.  From lip balm to laundry detergent these natural products work and smell amazing!  Love the limited ingredients!,"{'neg': 0.042, 'neu': 0.621, 'pos': 0.337, 'compound': 0.9358}",0.9358,pos
