,product_id,date_posted,review_title,review_text
0,85257,2024-07-27,Works for me,I’ve tried several sleep supplements.  This one works well for me and doesn’t have morning after effects for me.  The last one I tried had nightmares and was difficult to swallow.  This tablet was do-able.  
1,85257,2024-05-10,Прекрасно!,"Thank you very much for this product, it suited me, I like the packaging, comfortable and stylish, I will order more of these products, and recommend them to all my friends and relatives! good!!
"
2,85257,2024-03-02,,"Thank you very much for this product, it suited me, I like the packaging, comfortable and stylish, I will order more of these products, and recommend them to all my friends and relatives! good!!
"
3,85257,2022-12-29,,One of the most effective herbal sleep aids I have ever tried.  I purchased this during a period in life where I was experiencing SEVERE stress and distress.  Melatonin would help me go to sleep but it would not help me stay asleep.  This stuff did the trick to help me fall asleep and stay asleep.   highly recommend. 
4,85257,2024-09-28,Прекрасно!,"excellent product,good and strong packaging , the quality matches the description, I will still recommend ordering to everyone!!! okay"
5,85257,2024-08-18,Прекрасно!,"the product arranged, perfectly packed, the effect is definitely there! I will order more! Just as quickly delivered"
6,85257,2024-07-31,,"the product arranged, perfectly packed, the effect is definitely there! I will order more! Just as quickly delivered"
7,85257,2024-06-30,Good,Good quality and ingredients must try it perfect size package 
8,85257,2024-05-31,,Having problems sleeping?  Good supplement for that very problem.  Sleep tight
9,85257,2024-05-17,,i think this really has been helping me with getting deep sleep. natural ingredients 
10,85257,2024-02-06,Good,Helps to fall asleep easily. High Quality. Definitely I will reorder. Very Recommended!
11,85257,2023-04-27,,"I have been using the spray and finding it very effective.  I especially like being able to control the dose and give myself a spray or two if I wake up in the night.  Unfortunately, the spray is out of stock, so I've had to switch to the tablets, which seem to have a longer lasting effect, but take a while to go into effect.   I believe that the product and ingredients are very high quality."
12,85257,2022-08-02,,"Excellent product, no melatonin! I’ve purchased these multiple times and will continue to do so. I was interested in finding a product with quality ingredients, and feel the size of the pill is just right to take with a large gulp of water. I love that the product is organic, and I feel like my sleep has truly benefitted from this.

"
13,85257,2023-12-01,good,it works. I take one when I have a hard time falling sleep an hour or two before bedtime.
14,85257,2023-06-09,ยอดเยี่ยม!,"This one is so good. Ingredients are safe and healthy. I usually take one of these when I feel like I'm likely to have more trouble getting to sleep or having a restful sleep due to physical pain and or emotional stress, etc. I often take one along with a vitamin C and sometimes a ginger cap or two as well (mostly for inflammation/aches and digestion). I also usually take a magnesium complex at dinner which has helped with issues related to physical agitation, I believe. I tried two other herbal compound sleep remedy products and had decent results but they were more expensive, then they were N/A, so I shopped and chose this and am very happy with it and changed my subscription to this. I find the results are subtle but effective-- helps with taking the edge off the mind-chatter and I get a very pleasant restful sleep. I sleep longer without having to get up to go to the bathroom and sleep without the nagging interfering aches causing me to toss and turn as much. No downside that I've noticed. My husband also take this and has had positive results. I've recommended this to other friends as well."
15,85257,2023-05-22,My hubby approves!,"My hubby has a hard time to keep sleeping and thee tablets are really good - taste is fine, the price is little high but they work. Also note that those tablets are little on a bigger size."
